f1,f2,f3,f4,f5,num,validation
房地产住宅投资(亿元),艺术表演团体演出场次(万场次),建筑业企业从业人员(万人),国家重点优抚对象(万人),小学生师比(教师人数=1),3095,0.788853000808
房地产开发住宅投资额(亿元),农村集中供养五保人数(万人),建筑业城镇单位就业人员(万人),普通高中专任教师数(万人),小学生师比(教师人数=1),2740,0.78870340883
1-5亿元房地产开发投资额(亿元),自动气象站站点个数(个),建筑业企业从业人员(万人),国家重点优抚对象(万人),小学生师比(教师人数=1),152,0.787479259405
房地产住宅投资(亿元),艺术表演团体国内演出场次(千场次),国内外观设计专利申请受理量(项),国家重点优抚对象(万人),小学生师比(教师人数=1),3100,0.785943144692
房地产开发住宅投资额(亿元),特殊教育毕业生数(万人),建筑业城镇单位就业人员(万人),国家重点优抚对象定期补助人数(万人),小学生师比(教师人数=1),2752,0.785169774756
房地产开发住宅投资额(亿元),特殊教育毕业生数(万人),建筑业城镇单位就业人员(万人),国家重点优抚对象定期补助人数(万人),小学生师比(教师人数=1),1141,0.785169774756
房地产开发住宅投资额(亿元),特殊教育招生数(万人),内资建筑业企业从业人员(万人),国家重点优抚对象(万人),小学生师比(教师人数=1),353,0.784435282806
房地产开发住宅投资额(亿元),机动脱粒机数量(台),建筑业城镇单位就业人员(万人),国家重点优抚对象定期补助人数(万人),小学生师比(教师人数=1),2748,0.784330474857
房地产业全社会固定资产投资(亿元),农村集中供养五保人数(万人),建筑业城镇单位就业人员(万人),普通高中专任教师数(万人),小学生师比(教师人数=1),783,0.783461204481
房地产开发住宅投资额(亿元),艺术表演团体国内演出场次(千场次),建筑业城镇单位就业人员(万人),镇数(个),小学生师比(教师人数=1),1645,0.783387445794
房地产开发住宅投资额(亿元),艺术表演团体国内演出场次(千场次),建筑业城镇单位就业人员(万人),镇数(个),小学生师比(教师人数=1),2160,0.783387445794
1-5亿元房地产开发投资额(亿元),农村集中供养五保人数(万人),国内外观设计专利申请授权量(项),普通高中在校学生数(万人),小学生师比(教师人数=1),1353,0.78211372339
1-5亿元房地产开发投资额(亿元),自动气象站站点个数(个),建筑业城镇单位就业人员(万人),基层医疗卫生机构床位数(万张),小学生师比(教师人数=1),2259,0.781529829751
1-5亿元房地产开发投资额(亿元),自动气象站站点个数(个),建筑业城镇单位就业人员(万人),基层医疗卫生机构床位数(万张),小学生师比(教师人数=1),2260,0.781529829751
1-5亿元房地产开发投资额(亿元),普通小学学校数(所),建筑业城镇单位就业人员(万人),基层医疗卫生机构床位数(万张),小学生师比(教师人数=1),691,0.781285594752
房地产住宅投资(亿元),特殊教育在校学生数(万人),建筑业企业从业人员(万人),国家重点优抚对象(万人),小学生师比(教师人数=1),3097,0.781282560953
1-5亿元房地产开发投资额(亿元),机动脱粒机数量(台),建筑业城镇单位就业人员(万人),国家重点优抚对象(万人),小学生师比(教师人数=1),150,0.780682581887
房地产业全社会固定资产投资(亿元),机动脱粒机数量(台),建筑业城镇单位就业人员(万人),普通高中专任教师数(万人),小学生师比(教师人数=1),2119,0.77977823426
全社会住宅投资(亿元),新注册民用中型载客汽车拥有量(万辆),建筑业城镇单位就业人员(万人),中等职业学校获得职业资格证书毕业生数(万人),小学生师比(教师人数=1),632,0.776980781281
房地产住宅投资(亿元),艺术表演团体机构数(个),建筑业城镇单位就业人员(万人),普通高中招生数(万人),小学生师比(教师人数=1),1650,0.775879465327
1-5亿元房地产开发投资额(亿元),农村集中供养五保人数(万人),国内外观设计专利申请受理量(项),普通高中在校学生数(万人),小学生师比(教师人数=1),2852,0.775854288896
房屋施工面积(万平方米),农村集中供养五保人数(万人),建筑业城镇单位就业人员(万人),中等职业学校在校学生数(万人),小学生师比(教师人数=1),1295,0.775854102744
房地产开发住宅投资额(亿元),农村集中供养五保人数(万人),建筑业城镇单位就业人员(万人),农村卫生机构床位数(万张),小学生师比(教师人数=1),2847,0.775540288962
内资房地产开发企业个数(个),农村集中供养五保人数(万人),建筑业城镇单位就业人员(万人),基层医疗卫生机构床位数(万张),小学生师比(教师人数=1),924,0.774245567826
房地产住宅投资(亿元),特殊教育招生数(万人),建筑业城镇单位就业人员(万人),普通高中招生数(万人),小学生师比(教师人数=1),2565,0.774183426382
全社会住宅投资(亿元),村民委员会单位数(个),内资建筑业企业从业人员(万人),国家重点优抚对象(万人),小学生师比(教师人数=1),358,0.771983220623
房地产住宅投资(亿元),自治组织单位数(个),建筑业企业从业人员(万人),镇数(个),小学生师比(教师人数=1),794,0.771356664377
固定资产投资(不含农户)(亿元),艺术表演团体演出场次(万场次),城镇单位就业人员平均工资(元),国家重点优抚对象(万人),小学生师比(教师人数=1),1385,0.769536583776
商品房销售面积(万平方米),艺术表演团体国内演出场次(千场次),内资建筑业企业从业人员(万人),国家重点优抚对象定期补助人数(万人),小学生师比(教师人数=1),2736,0.768773220313
全社会住宅投资(亿元),机动脱粒机数量(台),内资建筑业企业从业人员(万人),国家重点优抚对象(万人),小学生师比(教师人数=1),2891,0.768178833953
1-5亿元房地产开发投资额(亿元),乡村医生和卫生员数(万人),建筑业城镇单位就业人员(万人),普通高中招生数(万人),小学生师比(教师人数=1),2213,0.767475237594
城镇住宅投资(亿元),艺术表演团体演出场次(万场次),建筑业城镇单位就业人员(万人),中等职业学校获得职业资格证书毕业生数(万人),小学生师比(教师人数=1),3086,0.767407292991
内资房地产开发企业个数(个),农村集中供养五保人数(万人),建筑业城镇单位就业人员(万人),普通高中毕业生数(万人),小学生师比(教师人数=1),2642,0.767236554793
固定资产投资(不含农户)房屋施工面积(万平方米),普通小学学校数(所),建筑业城镇单位就业人员(万人),中等职业学校获得职业资格证书毕业生数(万人),小学生师比(教师人数=1),688,0.765731961245
房地产住宅投资(亿元),自动气象站站点个数(个),建筑业城镇单位就业人员(万人),基层医疗卫生机构床位数(万张),小学生师比(教师人数=1),2951,0.765706132495
固定资产投资(不含农户)住宅施工面积(万平方米),艺术表演团体演出场次(万场次),建筑业城镇单位就业人员(万人),国家重点优抚对象(万人),小学生师比(教师人数=1),3187,0.765472213894
1-5亿元房地产开发投资额(亿元),机动脱粒机数量(台),建筑业企业从业人员(万人),国家重点优抚对象(万人),小学生师比(教师人数=1),159,0.764915399269
房地产住宅投资(亿元),艺术表演团体国内演出场次(千场次),建筑业城镇单位就业人员(万人),中等职业学校获得职业资格证书毕业生数(万人),小学生师比(教师人数=1),329,0.764747859656
房地产开发住宅投资额(亿元),特殊教育招生数(万人),中国公民收养登记数(件),国家重点优抚对象(万人),小学生师比(教师人数=1),352,0.764400142403
房地产开发住宅投资额(亿元),普通小学学校数(所),建筑业企业从业人员(万人),普通高中在校学生数(万人),小学生师比(教师人数=1),1915,0.764027830145
房地产业全社会固定资产投资(亿元),艺术表演团体演出场次(万场次),建筑业城镇单位就业人员(万人),国家重点优抚对象定期补助人数(万人),小学生师比(教师人数=1),2602,0.763266342656
1-5亿元房地产开发投资额(亿元),自动气象站站点个数(个),建筑业企业从业人员(万人),国家重点优抚对象(万人),小学生师比(教师人数=1),153,0.76315594285
1-5亿元房地产开发投资额(亿元),艺术表演团体演出场次(万场次),办公楼销售额(亿元),国家重点优抚对象(万人),小学生师比(教师人数=1),2201,0.763084499123
1-5亿元房地产开发投资额(亿元),农村集中供养五保人数(万人),国内外观设计专利申请授权量(项),普通高中在校学生数(万人),小学生师比(教师人数=1),1354,0.762514403101
房地产开发住宅投资额(亿元),艺术表演团体机构数(个),建筑业城镇单位就业人员(万人),普通高中招生数(万人),小学生师比(教师人数=1),1648,0.762030196452
房地产开发住宅投资额(亿元),特殊教育招生数(万人),建筑业城镇单位就业人员(万人),国家重点优抚对象定期补助人数(万人),小学生师比(教师人数=1),1144,0.761623645494
1-5亿元房地产开发投资额(亿元),林业总产值指数(上年=100)(%),建筑业城镇单位就业人员(万人),国家重点优抚对象(万人),小学生师比(教师人数=1),3186,0.76044462849
1-5亿元房地产开发投资额(亿元),机动脱粒机数量(台),建筑业企业从业人员(万人),国家重点优抚对象(万人),小学生师比(教师人数=1),160,0.760256532551
房地产开发住宅投资额(亿元),艺术表演团体演出场次(万场次),建筑业企业从业人员(万人),普通高中在校学生数(万人),小学生师比(教师人数=1),1914,0.759404058442
房地产开发住宅投资额(亿元),艺术表演团体演出场次(万场次),建筑业企业从业人员(万人),普通高中在校学生数(万人),小学生师比(教师人数=1),1912,0.759404058442
1-5亿元房地产开发投资额(亿元),艺术表演团体演出场次(万场次),建筑业城镇单位就业人员(万人),初中毕业生数(万人),小学生师比(教师人数=1),2785,0.758835316726
房地产开发住宅投资额(亿元),特殊教育毕业生数(万人),建筑业城镇单位就业人员(万人),新注册民用载货汽车拥有量(万辆),小学生师比(教师人数=1),2754,0.758645209094
房地产业全社会固定资产投资(亿元),机动脱粒机数量(台),建筑业城镇单位就业人员(万人),普通小学在校学生数(万人),小学生师比(教师人数=1),2117,0.758497989434
房地产住宅投资(亿元),艺术表演团体演出场次(万场次),建筑业企业从业人员(万人),国家重点优抚对象(万人),小学生师比(教师人数=1),3096,0.757788617592
房地产开发住宅投资额(亿元),林业总产值指数(上年=100)(%),建筑业城镇单位就业人员(万人),基层医疗卫生机构床位数(万张),小学生师比(教师人数=1),2836,0.757751146348
房地产开发住宅投资额(亿元),林业总产值指数(上年=100)(%),建筑业城镇单位就业人员(万人),基层医疗卫生机构床位数(万张),小学生师比(教师人数=1),2838,0.757751146348
1-5亿元房地产开发投资额(亿元),机动脱粒机数量(台),建筑业城镇单位就业人员(万人),国家重点优抚对象(万人),小学生师比(教师人数=1),151,0.757661382835
福利彩票销售额(亿元),特殊教育在校学生数(万人),建筑业城镇单位就业人员(万人),国家重点优抚对象(万人),小学生师比(教师人数=1),3108,0.75735677033
房地产开发住宅投资额(亿元),自治组织单位数(个),建筑业城镇单位就业人员(万人),普通高中在校学生数(万人),小学生师比(教师人数=1),1911,0.757284993475
固定资产投资(不含农户)住宅施工面积(万平方米),普通小学学校数(所),建筑业城镇单位就业人员工资总额(亿元),国家重点优抚对象(万人),小学生师比(教师人数=1),2112,0.756869915418
固定资产投资(不含农户)住宅施工面积(万平方米),普通小学学校数(所),建筑业城镇单位就业人员工资总额(亿元),国家重点优抚对象(万人),小学生师比(教师人数=1),2106,0.756869915418
1-5亿元房地产开发投资额(亿元),艺术表演团体演出场次(万场次),建筑业城镇单位就业人员(万人),乡村人口(万人),小学生师比(教师人数=1),1336,0.756773650925
商品房销售面积(万平方米),艺术表演团体国内演出场次(千场次),内资建筑业企业从业人员(万人),国家重点优抚对象定期补助人数(万人),小学生师比(教师人数=1),2737,0.756685852637
房地产开发住宅投资额(亿元),艺术表演团体国内演出场次(千场次),建筑业城镇单位就业人员(万人),镇数(个),小学生师比(教师人数=1),1646,0.756625175331
1-5亿元房地产开发投资额(亿元),自动气象站站点个数(个),建筑业企业从业人员(万人),国家重点优抚对象(万人),小学生师比(教师人数=1),154,0.75621966832
1-5亿元房地产开发投资额(亿元),艺术表演团体演出场次(万场次),建筑业城镇单位就业人员(万人),中等职业学校获得职业资格证书毕业生数(万人),小学生师比(教师人数=1),3090,0.756219127462
房屋施工面积(万平方米),农村集中供养五保人数(万人),建筑业城镇单位就业人员(万人),普通高中毕业生数(万人),小学生师比(教师人数=1),1294,0.755489533752
固定资产投资(不含农户)房屋施工面积(万平方米),农村集中供养五保人数(万人),建筑业城镇单位就业人员(万人),普通高中专任教师数(万人),小学生师比(教师人数=1),2739,0.755343631253
1-5亿元房地产开发投资额(亿元),乡村医生和卫生员数(万人),建筑业城镇单位就业人员(万人),基层医疗卫生机构床位数(万张),小学生师比(教师人数=1),693,0.755162973069
1-5亿元房地产开发投资额(亿元),乡村医生和卫生员数(万人),建筑业城镇单位就业人员(万人),基层医疗卫生机构床位数(万张),小学生师比(教师人数=1),694,0.755162973069
福利彩票销售额(亿元),农村集中供养五保人数(万人),内资建筑业企业从业人员(万人),国家重点优抚对象定期补助人数(万人),小学生师比(教师人数=1),1595,0.754279225594
固定资产投资(不含农户)其他资金(亿元),农村集中供养五保人数(万人),建筑业城镇单位就业人员(万人),普通高中专任教师数(万人),小学生师比(教师人数=1),957,0.753322942754
1-5亿元房地产开发投资额(亿元),林业总产值指数(上年=100)(%),建筑业城镇单位就业人员(万人),初中毕业生数(万人),小学生师比(教师人数=1),2787,0.753059464836
房地产开发企业住宅新开工房屋面积(万平方米),农村集中供养五保人数(万人),建筑业企业从业人员(万人),镇数(个),小学生师比(教师人数=1),792,0.752491425778
房地产住宅投资(亿元),艺术表演团体国内演出场次(千场次),中国公民收养登记数(件),国家重点优抚对象(万人),政府办医院病床工作日(日),1121,0.752242190439
房地产住宅投资(亿元),艺术表演团体国内演出场次(千场次),城镇单位就业人员平均工资(元),国家重点优抚对象(万人),小学生师比(教师人数=1),603,0.751717200775
商品房销售面积(万平方米),农村集中供养五保人数(万人),中国公民收养登记数(件),国家重点优抚对象定期补助人数(万人),小学生师比(教师人数=1),376,0.751184042339
商品房销售面积(万平方米),农村集中供养五保人数(万人),城镇居民医疗保险基金收入(万元),普通高中教职工数(万人),小学生师比(教师人数=1),1049,0.750844663472
房地产开发住宅投资额(亿元),国有建筑业房屋施工面积(万平方米),建筑业城镇单位就业人员(万人),初中招生数(万人),小学生师比(教师人数=1),1148,0.750693962776
商品房销售面积(万平方米),农村集中供养五保人数(万人),建筑业企业从业人员(万人),初中毕业生数(万人),小学生师比(教师人数=1),1985,0.750311353585
福利彩票销售额(亿元),农村集中供养五保人数(万人),内资建筑业企业从业人员(万人),新注册民用载货汽车拥有量(万辆),小学生师比(教师人数=1),1592,0.750231420083
福利彩票销售额(亿元),农村集中供养五保人数(万人),内资建筑业企业从业人员(万人),新注册民用载货汽车拥有量(万辆),小学生师比(教师人数=1),1589,0.750231420083
福利彩票销售额(亿元),农村集中供养五保人数(万人),内资建筑业企业从业人员(万人),新注册民用载货汽车拥有量(万辆),小学生师比(教师人数=1),1605,0.750231420083
固定资产投资(不含农户)其他资金(亿元),农村集中供养五保人数(万人),城镇居民医疗保险基金收入(万元),普通高中招生数(万人),小学生师比(教师人数=1),1390,0.750195141648
房地产住宅投资(亿元),林业总产值指数(上年=100)(%),内资建筑业企业从业人员(万人),普通高中专任教师数(万人),小学生师比(教师人数=1),871,0.750112227772
房地产住宅投资(亿元),特殊教育毕业生数(万人),建筑业企业从业人员(万人),基层医疗卫生机构床位数(万张),小学生师比(教师人数=1),1532,0.749932572646
房地产开发住宅投资额(亿元),村民委员会职工人数(人),建筑业城镇单位就业人员(万人),结婚登记(万对),小学生师比(教师人数=1),2833,0.749682552012
房地产开发住宅投资额(亿元),特殊教育招生数(万人),建筑业城镇单位就业人员(万人),中等职业学校招生数(万人),小学生师比(教师人数=1),1908,0.749522942115
福利彩票销售额(亿元),普通小学学校数(所),建筑业城镇单位就业人员(万人),乡村人口(万人),小学生师比(教师人数=1),688,0.749100432738
城镇住宅投资(亿元),自动气象站站点个数(个),建筑业城镇单位就业人员(万人),镇数(个),小学生师比(教师人数=1),883,0.748093942614
固定资产投资(不含农户)其他资金(亿元),特殊教育毕业生数(万人),国内外观设计专利申请受理量(项),国家重点优抚对象(万人),小学生师比(教师人数=1),1249,0.747986998506
房地产开发住宅投资额(亿元),乡村医生和卫生员数(万人),建筑业城镇单位就业人员(万人),农村卫生机构床位数(万张),小学生师比(教师人数=1),2845,0.747914570429
房地产开发住宅投资额(亿元),乡村医生和卫生员数(万人),建筑业城镇单位就业人员(万人),农村卫生机构床位数(万张),小学生师比(教师人数=1),2844,0.747914570429
房地产住宅投资(亿元),乡镇数(个),建筑业城镇单位就业人员(万人),普通高中教职工数(万人),小学生师比(教师人数=1),1832,0.747722357073
房地产住宅投资(亿元),特殊教育毕业生数(万人),城镇单位就业人员平均工资(元),中等职业学校获得职业资格证书毕业生数(万人),小学生师比(教师人数=1),874,0.747662802589
1-5亿元房地产开发投资额(亿元),农村集中供养五保人数(万人),国内外观设计专利申请受理量(项),普通高中在校学生数(万人),小学生师比(教师人数=1),2853,0.747572623664
1-5亿元房地产开发投资额(亿元),机动脱粒机数量(台),国内外观设计专利申请授权量(项),国家重点优抚对象(万人),小学生师比(教师人数=1),148,0.747522610837
固定资产投资(不含农户)(亿元),普通小学学校数(所),内资建筑业企业从业人员(万人),基层医疗卫生机构床位数(万张),小学生师比(教师人数=1),336,0.74712880306
教育城镇单位就业人员工资总额(亿元),农村集中供养五保人数(万人),建筑业城镇单位就业人员(万人),普通高中在校学生数(万人),小学生师比(教师人数=1),102,0.747078883938
全社会住宅投资(亿元),普通小学学校数(所),建筑业城镇单位就业人员(万人),初中学校数(所),小学生师比(教师人数=1),1347,0.747008078243
商品房销售面积(万平方米),农村集中供养五保人数(万人),中国公民收养登记数(件),国家重点优抚对象(万人),小学生师比(教师人数=1),380,0.746916502077
商品房销售面积(万平方米),农村集中供养五保人数(万人),中国公民收养登记数(件),国家重点优抚对象(万人),小学生师比(教师人数=1),382,0.746916502077
固定资产投资(不含农户)(亿元),艺术表演团体演出场次(万场次),城镇单位就业人员平均工资(元),国家重点优抚对象(万人),小学生师比(教师人数=1),1386,0.746549182176
全社会住宅投资(亿元),林业总产值指数(上年=100)(%),建筑业城镇单位就业人员(万人),普通高中专任教师数(万人),小学生师比(教师人数=1),959,0.746455964248
房地产业固定资产投资(不含农户)(亿元),艺术表演团体国内演出场次(千场次),国内外观设计专利申请受理量(项),国家重点优抚对象(万人),小学生师比(教师人数=1),3102,0.746283855726
全社会住宅投资(亿元),艺术表演团体演出场次(万场次),建筑业城镇单位就业人员(万人),基层医疗卫生机构床位数(万张),小学生师比(教师人数=1),2249,0.746054665195
1-5亿元房地产开发投资额(亿元),艺术表演团体演出场次(万场次),家庭儿童收养登记总数(件),国家重点优抚对象定期补助人数(万人),小学生师比(教师人数=1),835,0.74604124729
1-5亿元房地产开发投资额(亿元),艺术表演团体演出场次(万场次),家庭儿童收养登记总数(件),国家重点优抚对象定期补助人数(万人),小学生师比(教师人数=1),833,0.74604124729
房地产开发住宅投资额(亿元),艺术表演团体国内演出场次(千场次),建筑业城镇单位就业人员工资总额(亿元),普通高中专任教师数(万人),小学生师比(教师人数=1),396,0.745874169861
房地产开发住宅投资额(亿元),国有建筑业房屋施工面积(万平方米),建筑业城镇单位就业人员(万人),基层医疗卫生机构床位数(万张),小学生师比(教师人数=1),2841,0.745256613315
房地产住宅投资(亿元),自动气象站站点个数(个),建筑业城镇单位就业人员(万人),普通小学专任教师数(万人),小学生师比(教师人数=1),2956,0.745158118963
房地产住宅投资(亿元),自动气象站站点个数(个),建筑业城镇单位就业人员(万人),普通小学专任教师数(万人),小学生师比(教师人数=1),2954,0.745158118963
福利彩票销售额(亿元),国有建筑业房屋施工面积(万平方米),建筑业城镇单位就业人员(万人),中等职业学校获得职业资格证书毕业生数(万人),小学生师比(教师人数=1),1315,0.744864602915
商品房销售面积(万平方米),特殊教育在校学生数(万人),城镇居民医疗保险基金收入(万元),镇数(个),小学生师比(教师人数=1),400,0.74475518814
固定资产投资(不含农户)(亿元),新注册民用中型载客汽车拥有量(万辆),建筑业城镇单位就业人员(万人),中等职业学校获得职业资格证书毕业生数(万人),小学生师比(教师人数=1),317,0.744743720983
固定资产投资(不含农户)房屋施工面积(万平方米),艺术表演团体演出场次(万场次),建筑业城镇单位就业人员(万人),国家重点优抚对象定期补助人数(万人),小学生师比(教师人数=1),830,0.743927273694
房地产业全社会固定资产投资(亿元),机动脱粒机数量(台),建筑业城镇单位就业人员(万人),普通小学专任教师数(万人),小学生师比(教师人数=1),2822,0.743612422642
房地产开发住宅投资额(亿元),艺术表演团体演出场次(万场次),城镇居民医疗保险基金收入(万元),中等职业学校获得职业资格证书毕业生数(万人),小学生师比(教师人数=1),258,0.742722535905
1-5亿元房地产开发投资额(亿元),自动气象站站点个数(个),建筑业城镇单位就业人员(万人),内地居民初婚登记(万人),小学生师比(教师人数=1),3182,0.742425048464
1-5亿元房地产开发投资额(亿元),农村集中供养五保人数(万人),国内外观设计专利申请受理量(项),普通高等学校专科招生数(万人),小学生师比(教师人数=1),2856,0.742081965942
福利彩票销售额(亿元),艺术表演团体国内演出场次(千场次),内资建筑业企业从业人员(万人),国家重点优抚对象定期补助人数(万人),小学生师比(教师人数=1),2731,0.742033050812
福利彩票销售额(亿元),艺术表演团体国内演出场次(千场次),内资建筑业企业从业人员(万人),国家重点优抚对象定期补助人数(万人),小学生师比(教师人数=1),2732,0.742033050812
福利彩票销售额(亿元),艺术表演团体国内演出场次(千场次),内资建筑业企业从业人员(万人),国家重点优抚对象定期补助人数(万人),小学生师比(教师人数=1),2735,0.742033050812
福利彩票销售额(亿元),艺术表演团体国内演出场次(千场次),内资建筑业企业从业人员(万人),国家重点优抚对象定期补助人数(万人),小学生师比(教师人数=1),2733,0.742006434062
商品房销售面积(万平方米),村民委员会职工人数(人),建筑业城镇单位就业人员(万人),普通高中招生数(万人),小学生师比(教师人数=1),1036,0.741870728274
内资房地产开发企业个数(个),机动脱粒机数量(台),建筑业城镇单位就业人员(万人),基层医疗卫生机构床位数(万张),小学生师比(教师人数=1),702,0.741408038273
房地产开发企业住宅新开工房屋面积(万平方米),乡村医生和卫生员数(万人),建筑业城镇单位就业人员(万人),农村卫生机构床位数(万张),小学生师比(教师人数=1),902,0.741346581843
内资房地产开发企业个数(个),机动脱粒机数量(台),建筑业城镇单位就业人员(万人),基层医疗卫生机构床位数(万张),小学生师比(教师人数=1),703,0.740771534077
福利彩票销售额(亿元),农村集中供养五保人数(万人),内资建筑业企业从业人员(万人),农村卫生机构床位数(万张),小学生师比(教师人数=1),1603,0.740322827052
1-5亿元房地产开发投资额(亿元),乡村医生和卫生员数(万人),建筑业城镇单位就业人员(万人),入院人数(万人),小学生师比(教师人数=1),1326,0.740175295232
城镇住宅投资(亿元),特殊教育招生数(万人),建筑业城镇单位就业人员(万人),内地居民初婚登记(万人),小学生师比(教师人数=1),3084,0.740145589989
房地产开发住宅投资额(亿元),村民委员会职工人数(人),建筑业城镇单位就业人员(万人),结婚登记(万对),小学生师比(教师人数=1),2834,0.739701207897
新注册民用汽车拥有量(万辆),农村集中供养五保人数(万人),建筑业城镇单位就业人员(万人),普通高中在校学生数(万人),小学生师比(教师人数=1),2744,0.739679233796
1-5亿元房地产开发投资额(亿元),机动脱粒机数量(台),建筑业城镇单位就业人员(万人),基层医疗卫生机构床位数(万张),小学生师比(教师人数=1),701,0.739296701049
1-5亿元房地产开发投资额(亿元),机动脱粒机数量(台),建筑业城镇单位就业人员(万人),基层医疗卫生机构床位数(万张),小学生师比(教师人数=1),699,0.739296701049
1-5亿元房地产开发投资额(亿元),机动脱粒机数量(台),建筑业城镇单位就业人员(万人),基层医疗卫生机构床位数(万张),小学生师比(教师人数=1),705,0.739296701049
全社会住宅投资(亿元),农村集中供养五保人数(万人),家庭儿童收养登记总数(件),新注册民用轻型载货汽车拥有量(万辆),小学生师比(教师人数=1),205,0.739151610747
房地产业全社会固定资产投资(亿元),新注册民用中型载客汽车拥有量(万辆),建筑业城镇单位就业人员(万人),国家重点优抚对象定期补助人数(万人),小学生师比(教师人数=1),2111,0.738970237097
房地产业全社会固定资产投资(亿元),新注册民用中型载客汽车拥有量(万辆),建筑业城镇单位就业人员(万人),国家重点优抚对象定期补助人数(万人),小学生师比(教师人数=1),2114,0.738970237097
1-5亿元房地产开发投资额(亿元),林业总产值指数(上年=100)(%),建筑业企业从业人员(万人),国家重点优抚对象(万人),小学生师比(教师人数=1),156,0.738925966348
1-5亿元房地产开发投资额(亿元),机动脱粒机数量(台),建筑业城镇单位就业人员工资总额(亿元),初中毕业生数(万人),小学生师比(教师人数=1),2790,0.738906370884
全社会固定资产投资中其他资金(亿元),艺术表演团体演出场次(万场次),城镇居民医疗保险基金收入(万元),普通高中招生数(万人),小学生师比(教师人数=1),1030,0.738761251133
住宅商品房销售面积(万平方米),村民委员会职工人数(人),建筑业城镇单位就业人员(万人),镇数(个),小学生师比(教师人数=1),451,0.738646622305
全社会固定资产投资中其他资金(亿元),机动脱粒机数量(台),建筑业城镇单位就业人员(万人),普通高中招生数(万人),小学生师比(教师人数=1),1570,0.738468825139
房地产住宅投资(亿元),村民委员会数(个),国内外观设计专利申请受理量(项),结婚登记(万对),小学生师比(教师人数=1),2222,0.738330778542
商品房销售面积(万平方米),新注册民用中型载客汽车拥有量(万辆),建筑业城镇单位就业人员(万人),中等职业学校获得职业资格证书毕业生数(万人),小学生师比(教师人数=1),1034,0.738142594082
