f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,num,validation
城镇住宅投资(亿元),建筑业城镇单位就业人员(万人),普通小学专任教师数(万人),小学生师比(教师人数=1),特殊教育招生数(万人),艺术表演团体国内演出场次(千场次),鲜菜类居民消费价格指数(上年=100),国家重点优抚对象(万人),城镇单位就业人员平均工资(元),城镇居民医疗保险基金累计结余(万元),1274,0.834379822352
房地产开发住宅投资额(亿元),建筑业城镇单位就业人员(万人),初中毕业生数(万人),小学生师比(教师人数=1),机动脱粒机数量(台),艺术表演团体演出场次(万场次),菜类商品零售价格指数(上年=100),村民委员会数(个),林业总产值指数(上年=100)(%),城镇居民基本医疗保险年末参保人数(万人),2279,0.833723966914
房地产业全社会固定资产投资(亿元),建筑业城镇单位就业人员(万人),蔬菜播种面积(千公顷),小学生师比(教师人数=1),特殊教育毕业生数(万人),艺术表演团体国内演出场次(千场次),鲜菜类居民消费价格指数(上年=100),镇数(个),林业总产值指数(上年=100)(%),城镇居民基本医疗保险年末参保人数(万人),2554,0.833656488727
全社会固定资产投资中其他资金(亿元),建筑业城镇单位就业人员(万人),入院人数(万人),小学生师比(教师人数=1),特殊教育招生数(万人),艺术表演团体国内演出场次(千场次),菜类商品零售价格指数(上年=100),农村集中供养五保人数(万人),城镇单位就业人员平均工资(元),城镇居民医疗保险基金支出(万元),621,0.830943835772
房地产开发住宅投资额(亿元),建筑业城镇单位就业人员(万人),普通小学专任教师数(万人),小学生师比(教师人数=1),特殊教育招生数(万人),艺术表演团体演出场次(万场次),鲜菜类居民消费价格指数(上年=100),国家重点优抚对象(万人),城镇单位就业人员平均工资(元),城镇居民基本医疗保险年末参保人数(万人),1268,0.830729070155
1-5亿元房地产开发投资额(亿元),建筑业城镇单位就业人员(万人),中等职业学校预计毕业生数(万人),小学生师比(教师人数=1),特殊教育招生数(万人),艺术表演团体国内演出场次(千场次),菜类商品零售价格指数(上年=100),农村集中供养五保人数(万人),城镇单位就业人员平均工资(元),社会组织女性职工人数(人),617,0.82993654846
1-5亿元房地产开发投资额(亿元),建筑业城镇单位就业人员(万人),中等职业学校预计毕业生数(万人),小学生师比(教师人数=1),机动脱粒机数量(台),艺术表演团体国内演出场次(千场次),鲜菜类居民消费价格指数(上年=100),国家重点优抚对象(万人),城镇单位就业人员平均工资(元),普通高等学校无职称专任教师数(万人),1005,0.829716290232
房地产住宅投资(亿元),国内外观设计专利申请受理量(项),普通高等学校专科招生数(万人),小学生师比(教师人数=1),特殊教育招生数(万人),艺术表演团体演出场次(万场次),鲜菜类居民消费价格指数(上年=100),国家重点优抚对象(万人),新注册民用中型载客汽车拥有量(万辆),城镇居民医疗保险基金收入(万元),869,0.829174007173
房地产开发住宅投资额(亿元),建筑业城镇单位就业人员(万人),普通小学专任教师数(万人),小学生师比(教师人数=1),特殊教育招生数(万人),艺术表演团体演出场次(万场次),鲜菜类居民消费价格指数(上年=100),国家重点优抚对象(万人),城镇单位就业人员平均工资(元),城镇居民医疗保险基金累计结余(万元),1272,0.829003215691
房地产开发住宅投资额(亿元),建筑业城镇单位就业人员(万人),普通小学专任教师数(万人),小学生师比(教师人数=1),特殊教育招生数(万人),艺术表演团体演出场次(万场次),鲜菜类居民消费价格指数(上年=100),国家重点优抚对象(万人),城镇单位就业人员平均工资(元),城镇居民医疗保险基金累计结余(万元),1270,0.829003215691
房地产开发住宅投资额(亿元),建筑业城镇单位就业人员(万人),初中毕业生数(万人),小学生师比(教师人数=1),机动脱粒机数量(台),艺术表演团体演出场次(万场次),菜类商品零售价格指数(上年=100),村民委员会数(个),林业总产值指数(上年=100)(%),城镇居民基本医疗保险年末参保人数(万人),2280,0.828877826911
房地产开发住宅投资额(亿元),建筑业城镇单位就业人员(万人),普通小学专任教师数(万人),小学生师比(教师人数=1),特殊教育招生数(万人),艺术表演团体演出场次(万场次),鲜菜类居民消费价格指数(上年=100),国家重点优抚对象(万人),城镇单位就业人员平均工资(元),城镇居民医疗保险基金累计结余(万元),1273,0.82748253107
房地产住宅投资(亿元),建筑业城镇单位就业人员(万人),普通高等学校专科招生数(万人),小学生师比(教师人数=1),乡镇数(个),艺术表演团体国内演出场次(千场次),菜类商品零售价格指数(上年=100),国家重点优抚对象定期补助人数(万人),城镇单位就业人员平均工资(元),城镇居民医疗保险基金收入(万元),81,0.8262709776
房地产业全社会固定资产投资(亿元),内资建筑业企业从业人员(万人),中等职业学校预计毕业生数(万人),小学生师比(教师人数=1),特殊教育招生数(万人),艺术表演团体演出场次(万场次),菜类商品零售价格指数(上年=100),国家重点优抚对象(万人),林业总产值指数(上年=100)(%),城镇居民医疗保险基金支出(万元),2030,0.826173065147
房地产开发企业住宅新开工房屋面积(万平方米),中国公民收养登记数(件),普通高中学校数(所),小学生师比(教师人数=1),机动脱粒机数量(台),艺术表演团体国内演出场次(千场次),菜类商品零售价格指数(上年=100),农村集中供养五保人数(万人),办公楼销售额(亿元),城镇居民基本医疗保险年末参保人数(万人),698,0.825535942014
房地产开发企业住宅新开工房屋面积(万平方米),中国公民收养登记数(件),普通高中学校数(所),小学生师比(教师人数=1),机动脱粒机数量(台),艺术表演团体国内演出场次(千场次),菜类商品零售价格指数(上年=100),农村集中供养五保人数(万人),办公楼销售额(亿元),城镇居民基本医疗保险年末参保人数(万人),696,0.825535942014
房地产开发企业住宅新开工房屋面积(万平方米),中国公民收养登记数(件),普通高中学校数(所),小学生师比(教师人数=1),机动脱粒机数量(台),艺术表演团体国内演出场次(千场次),菜类商品零售价格指数(上年=100),农村集中供养五保人数(万人),办公楼销售额(亿元),福利彩票销售额(亿元),701,0.825398352711
全社会住宅投资(亿元),国内外观设计专利申请受理量(项),普通高等学校专科招生数(万人),小学生师比(教师人数=1),机动脱粒机数量(台),艺术表演团体演出场次(万场次),鲜菜类居民消费价格指数(上年=100),镇数(个),办公楼销售额(亿元),公路旅客周转量(亿人公里),669,0.825199028227
房地产住宅投资(亿元),建筑业城镇单位就业人员(万人),初中毕业生数(万人),小学生师比(教师人数=1),乡镇数(个),艺术表演团体国内演出场次(千场次),菜类商品零售价格指数(上年=100),国家重点优抚对象定期补助人数(万人),城镇单位就业人员平均工资(元),城镇居民医疗保险基金收入(万元),79,0.825061035611
房地产开发住宅投资额(亿元),建筑业城镇单位就业人员(万人),新注册民用轻型载货汽车拥有量(万辆),小学生师比(教师人数=1),机动脱粒机数量(台),艺术表演团体国内演出场次(千场次),菜类商品零售价格指数(上年=100),国家重点优抚对象定期补助人数(万人),林业总产值指数(上年=100)(%),福利彩票提取公益金(亿元),2366,0.824944050056
房地产开发住宅投资额(亿元),建筑业城镇单位就业人员(万人),新注册民用轻型载货汽车拥有量(万辆),小学生师比(教师人数=1),机动脱粒机数量(台),艺术表演团体国内演出场次(千场次),菜类商品零售价格指数(上年=100),国家重点优抚对象定期补助人数(万人),林业总产值指数(上年=100)(%),福利彩票提取公益金(亿元),2369,0.824944050056
城镇住宅投资(亿元),建筑业城镇单位就业人员(万人),初中招生数(万人),小学生师比(教师人数=1),特殊教育招生数(万人),艺术表演团体演出场次(万场次),菜类商品零售价格指数(上年=100),镇数(个),林业总产值指数(上年=100)(%),城镇居民基本医疗保险年末参保人数(万人),1506,0.824765749751
城镇住宅投资(亿元),建筑业城镇单位就业人员(万人),普通小学专任教师数(万人),小学生师比(教师人数=1),特殊教育招生数(万人),艺术表演团体国内演出场次(千场次),鲜菜类居民消费价格指数(上年=100),国家重点优抚对象(万人),新注册民用中型载客汽车拥有量(万辆),城镇居民基本医疗保险年末参保人数(万人),1276,0.824157655772
房地产住宅投资(亿元),国内外观设计专利申请受理量(项),普通高等学校专科招生数(万人),小学生师比(教师人数=1),特殊教育招生数(万人),艺术表演团体演出场次(万场次),鲜菜类居民消费价格指数(上年=100),国家重点优抚对象(万人),新注册民用中型载客汽车拥有量(万辆),城镇居民医疗保险基金收入(万元),870,0.82408605076
全社会固定资产投资中其他资金(亿元),建筑业城镇单位就业人员(万人),中等职业学校预计毕业生数(万人),小学生师比(教师人数=1),特殊教育招生数(万人),艺术表演团体演出场次(万场次),菜类商品零售价格指数(上年=100),基层医疗卫生机构床位数(万张),城镇单位就业人员平均工资(元),公共图书馆参观展览人次(万人次),577,0.823861034734
固定资产投资(不含农户)住宅施工面积(万平方米),建筑业城镇单位就业人员(万人),新注册民用载货汽车拥有量(万辆),小学生师比(教师人数=1),机动脱粒机数量(台),艺术表演团体国内演出场次(千场次),菜类商品零售价格指数(上年=100),农村集中供养五保人数(万人),办公楼销售额(亿元),城镇居民基本医疗保险年末参保人数(万人),2296,0.823642497649
全社会固定资产投资中其他资金(亿元),建筑业城镇单位就业人员(万人),中等职业学校毕业生数(万人),小学生师比(教师人数=1),特殊教育招生数(万人),艺术表演团体机构数(个),菜类商品零售价格指数(上年=100),村民委员会单位数(个),城镇单位就业人员平均工资(元),社会组织女性职工人数(人),630,0.82312012754
全社会住宅投资(亿元),国内外观设计专利申请授权量(项),医疗卫生机构出院人数(万人),小学生师比(教师人数=1),机动脱粒机数量(台),艺术表演团体国内演出场次(千场次),鲜菜类居民消费价格指数(上年=100),国家重点优抚对象(万人),城镇单位就业人员平均工资(元),城镇居民基本医疗保险年末参保人数(万人),1935,0.822793907818
全社会固定资产投资中其他资金(亿元),国内外观设计专利申请受理量(项),普通高中学校数(所),小学生师比(教师人数=1),特殊教育招生数(万人),艺术表演团体演出场次(万场次),菜类商品零售价格指数(上年=100),国家重点优抚对象(万人),城镇单位就业人员平均工资(元),城镇居民医疗保险基金收入(万元),886,0.822205262777
房地产开发企业住宅新开工房屋面积(万平方米),建筑业城镇单位就业人员(万人),中等职业学校毕业生数(万人),小学生师比(教师人数=1),特殊教育招生数(万人),艺术表演团体演出场次(万场次),菜类商品零售价格指数(上年=100),基层医疗卫生机构床位数(万张),办公楼销售额(亿元),福利彩票提取公益金(亿元),547,0.822177375345
房地产业全社会固定资产投资(亿元),建筑业城镇单位就业人员(万人),蔬菜播种面积(千公顷),小学生师比(教师人数=1),自动气象站站点个数(个),艺术表演团体演出场次(万场次),菜类商品零售价格指数(上年=100),国家重点优抚对象(万人),林业总产值指数(上年=100)(%),普通高等学校无职称专任教师数(万人),194,0.822045882681
房地产业全社会固定资产投资(亿元),建筑业城镇单位就业人员(万人),中等职业学校在校学生数(万人),小学生师比(教师人数=1),特殊教育毕业生数(万人),艺术表演团体演出场次(万场次),菜类商品零售价格指数(上年=100),镇数(个),城镇单位就业人员平均工资(元),城镇居民基本医疗保险年末参保人数(万人),119,0.821918330322
房地产业全社会固定资产投资(亿元),建筑业城镇单位就业人员(万人),医疗卫生机构门诊健康检查人数(万人),小学生师比(教师人数=1),自动气象站站点个数(个),艺术表演团体演出场次(万场次),菜类商品零售价格指数(上年=100),国家重点优抚对象(万人),林业总产值指数(上年=100)(%),普通高等学校无职称专任教师数(万人),193,0.821593577446
房地产开发住宅投资额(亿元),内资建筑业企业从业人员(万人),中等职业学校毕业生数(万人),小学生师比(教师人数=1),特殊教育招生数(万人),艺术表演团体演出场次(万场次),菜类商品零售价格指数(上年=100),国家重点优抚对象(万人),城镇单位就业人员平均工资(元),城镇居民医疗保险基金支出(万元),2570,0.821589727318
1-5亿元房地产开发投资额(亿元),建筑业企业从业人员(万人),医疗卫生机构门诊健康检查人数(万人),小学生师比(教师人数=1),特殊教育招生数(万人),艺术表演团体演出场次(万场次),鲜菜类居民消费价格指数(上年=100),国家重点优抚对象定期补助人数(万人),办公楼销售额(亿元),国有建筑业房屋施工面积(万平方米),1748,0.821139462158
全社会住宅投资(亿元),建筑业城镇单位就业人员工资总额(亿元),普通高中在校学生数(万人),小学生师比(教师人数=1),特殊教育招生数(万人),艺术表演团体演出场次(万场次),菜类商品零售价格指数(上年=100),国家重点优抚对象(万人),城镇单位就业人员平均工资(元),城镇居民医疗保险基金支出(万元),2890,0.820796136271
房地产开发住宅投资额(亿元),建筑业城镇单位就业人员(万人),结婚登记(万对),小学生师比(教师人数=1),机动脱粒机数量(台),艺术表演团体演出场次(万场次),菜类商品零售价格指数(上年=100),镇数(个),办公楼销售额(亿元),城镇居民医疗保险基金收入(万元),2972,0.820559734851
房地产业全社会固定资产投资(亿元),建筑业城镇单位就业人员(万人),医疗卫生机构门诊健康检查人数(万人),小学生师比(教师人数=1),机动脱粒机数量(台),艺术表演团体演出场次(万场次),菜类商品零售价格指数(上年=100),国家重点优抚对象(万人),林业总产值指数(上年=100)(%),国有建筑业房屋施工面积(万平方米),191,0.820546160892
房地产开发住宅投资额(亿元),国内外观设计专利申请受理量(项),普通小学教职工数(万人),小学生师比(教师人数=1),机动脱粒机数量(台),艺术表演团体演出场次(万场次),菜类商品零售价格指数(上年=100),国家重点优抚对象(万人),办公楼销售额(亿元),城镇居民医疗保险基金收入(万元),2649,0.820352613872
住宅房屋施工面积(万平方米),建筑业城镇单位就业人员(万人),普通小学学校数(所),小学生师比(教师人数=1),特殊教育招生数(万人),艺术表演团体国内演出场次(千场次),鲜菜类居民消费价格指数(上年=100),国家重点优抚对象(万人),办公楼销售额(亿元),普通高等学校无职称专任教师数(万人),1281,0.820079444626
商品房销售面积(万平方米),建筑业城镇单位就业人员工资总额(亿元),普通高中在校学生数(万人),小学生师比(教师人数=1),特殊教育招生数(万人),艺术表演团体演出场次(万场次),菜类商品零售价格指数(上年=100),国家重点优抚对象(万人),城镇单位就业人员平均工资(元),城镇居民医疗保险基金支出(万元),2885,0.819685500955
商品房销售面积(万平方米),内资建筑业企业从业人员(万人),普通高等学校专科招生数(万人),小学生师比(教师人数=1),特殊教育招生数(万人),艺术表演团体演出场次(万场次),鲜菜类居民消费价格指数(上年=100),国家重点优抚对象(万人),城镇单位就业人员平均工资(元),国有建筑业房屋施工面积(万平方米),2922,0.819512531262
住宅房屋施工面积(万平方米),建筑业城镇单位就业人员(万人),普通高等学校专科招生数(万人),小学生师比(教师人数=1),特殊教育招生数(万人),艺术表演团体演出场次(万场次),鲜菜类居民消费价格指数(上年=100),国家重点优抚对象(万人),办公楼销售额(亿元),城镇居民基本医疗保险年末参保人数(万人),1286,0.819349764726
房地产业全社会固定资产投资(亿元),建筑业城镇单位就业人员(万人),新注册民用载货汽车拥有量(万辆),小学生师比(教师人数=1),机动脱粒机数量(台),艺术表演团体国内演出场次(千场次),菜类商品零售价格指数(上年=100),农村集中供养五保人数(万人),办公楼销售额(亿元),城镇居民基本医疗保险年末参保人数(万人),2298,0.819282599071
1-5亿元房地产开发投资额(亿元),建筑业城镇单位就业人员(万人),中等职业学校预计毕业生数(万人),小学生师比(教师人数=1),特殊教育招生数(万人),艺术表演团体演出场次(万场次),菜类商品零售价格指数(上年=100),基层医疗卫生机构床位数(万张),城镇单位就业人员平均工资(元),公共图书馆参观展览人次(万人次),579,0.819260933483
全社会住宅投资(亿元),建筑业城镇单位就业人员(万人),普通小学在校学生数(万人),小学生师比(教师人数=1),特殊教育招生数(万人),艺术表演团体演出场次(万场次),菜类商品零售价格指数(上年=100),国家重点优抚对象定期补助人数(万人),城镇单位就业人员平均工资(元),公共图书馆参观展览人次(万人次),604,0.819178887349
房地产住宅投资(亿元),建筑业企业从业人员(万人),普通高中学校数(所),小学生师比(教师人数=1),机动脱粒机数量(台),艺术表演团体演出场次(万场次),菜类商品零售价格指数(上年=100),镇数(个),新注册民用中型载客汽车拥有量(万辆),社会组织女性职工人数(人),2747,0.819078529724
房地产开发住宅投资额(亿元),建筑业城镇单位就业人员(万人),普通高中教职工数(万人),小学生师比(教师人数=1),机动脱粒机数量(台),艺术表演团体演出场次(万场次),菜类商品零售价格指数(上年=100),村民委员会数(个),林业总产值指数(上年=100)(%),公路旅客周转量(亿人公里),693,0.818698811734
固定资产投资(不含农户)住宅施工面积(万平方米),国内外观设计专利申请授权量(项),中等职业学校预计毕业生数(万人),小学生师比(教师人数=1),特殊教育招生数(万人),艺术表演团体演出场次(万场次),菜类商品零售价格指数(上年=100),国家重点优抚对象(万人),林业总产值指数(上年=100)(%),城镇居民医疗保险基金支出(万元),2037,0.818672964687
房地产开发住宅投资额(亿元),内资建筑业企业从业人员(万人),中等职业学校毕业生数(万人),小学生师比(教师人数=1),特殊教育招生数(万人),艺术表演团体演出场次(万场次),菜类商品零售价格指数(上年=100),国家重点优抚对象(万人),办公楼销售额(亿元),公路旅客周转量(亿人公里),1291,0.818243973021
固定资产投资(不含农户)住宅施工面积(万平方米),建筑业城镇单位就业人员(万人),新注册民用载货汽车拥有量(万辆),小学生师比(教师人数=1),机动脱粒机数量(台),艺术表演团体演出场次(万场次),菜类商品零售价格指数(上年=100),国家重点优抚对象定期补助人数(万人),办公楼销售额(亿元),普通高等学校无职称专任教师数(万人),158,0.818045344909
房地产开发企业住宅新开工房屋面积(万平方米),建筑业城镇单位就业人员(万人),中等职业学校毕业生数(万人),小学生师比(教师人数=1),特殊教育招生数(万人),艺术表演团体演出场次(万场次),菜类商品零售价格指数(上年=100),农村集中供养五保人数(万人),办公楼销售额(亿元),福利彩票提取公益金(亿元),546,0.817859512899
房地产业全社会固定资产投资(亿元),建筑业城镇单位就业人员(万人),中等职业学校招生数(万人),小学生师比(教师人数=1),机动脱粒机数量(台),艺术表演团体演出场次(万场次),菜类商品零售价格指数(上年=100),国家重点优抚对象(万人),林业总产值指数(上年=100)(%),国有建筑业房屋施工面积(万平方米),189,0.817415022122
房地产业全社会固定资产投资(亿元),建筑业城镇单位就业人员(万人),普通高中在校学生数(万人),小学生师比(教师人数=1),特殊教育毕业生数(万人),艺术表演团体演出场次(万场次),菜类商品零售价格指数(上年=100),镇数(个),城镇单位就业人员平均工资(元),福利彩票提取公益金(亿元),118,0.816898012216
全社会固定资产投资中其他资金(亿元),建筑业城镇单位就业人员(万人),中等职业学校预计毕业生数(万人),小学生师比(教师人数=1),特殊教育招生数(万人),艺术表演团体国内演出场次(千场次),菜类商品零售价格指数(上年=100),农村集中供养五保人数(万人),城镇单位就业人员平均工资(元),普通高等学校无职称专任教师数(万人),619,0.816727546139
1-5亿元房地产开发投资额(亿元),建筑业城镇单位就业人员(万人),中等职业学校招生数(万人),小学生师比(教师人数=1),特殊教育招生数(万人),艺术表演团体演出场次(万场次),菜类商品零售价格指数(上年=100),国家重点优抚对象定期补助人数(万人),城镇单位就业人员平均工资(元),公共图书馆参观展览人次(万人次),582,0.81661125807
1-5亿元房地产开发投资额(亿元),建筑业城镇单位就业人员(万人),普通小学毕业生数(万人),小学生师比(教师人数=1),特殊教育招生数(万人),艺术表演团体演出场次(万场次),菜类商品零售价格指数(上年=100),基层医疗卫生机构床位数(万张),城镇单位就业人员平均工资(元),公共图书馆参观展览人次(万人次),581,0.816606982945
房地产住宅投资(亿元),中国公民收养登记数(件),普通小学专任教师数(万人),小学生师比(教师人数=1),特殊教育在校学生数(万人),艺术表演团体演出场次(万场次),菜类商品零售价格指数(上年=100),农村集中供养五保人数(万人),城镇单位就业人员平均工资(元),社会组织女性职工人数(人),395,0.816243517364
房地产业全社会固定资产投资(亿元),建筑业城镇单位就业人员(万人),普通高中教职工数(万人),小学生师比(教师人数=1),特殊教育毕业生数(万人),艺术表演团体国内演出场次(千场次),鲜菜类居民消费价格指数(上年=100),镇数(个),林业总产值指数(上年=100)(%),城镇居民基本医疗保险年末参保人数(万人),2552,0.81590163954
城镇住宅投资(亿元),建筑业城镇单位就业人员(万人),普通小学学校数(所),小学生师比(教师人数=1),特殊教育招生数(万人),艺术表演团体国内演出场次(千场次),鲜菜类居民消费价格指数(上年=100),国家重点优抚对象(万人),新注册民用中型载客汽车拥有量(万辆),普通高等学校无职称专任教师数(万人),1279,0.815752731886
房地产开发住宅投资额(亿元),建筑业城镇单位就业人员(万人),新注册民用轻型载货汽车拥有量(万辆),小学生师比(教师人数=1),机动脱粒机数量(台),艺术表演团体国内演出场次(千场次),菜类商品零售价格指数(上年=100),国家重点优抚对象定期补助人数(万人),林业总产值指数(上年=100)(%),福利彩票提取公益金(亿元),2367,0.815160346101
房地产开发企业住宅新开工房屋面积(万平方米),建筑业城镇单位就业人员(万人),普通小学在校学生数(万人),小学生师比(教师人数=1),特殊教育招生数(万人),艺术表演团体国内演出场次(千场次),菜类商品零售价格指数(上年=100),农村集中供养五保人数(万人),新注册民用中型载客汽车拥有量(万辆),公路旅客周转量(亿人公里),1812,0.815084589154
住宅房屋施工面积(万平方米),建筑业企业从业人员(万人),中等职业学校毕业生数(万人),小学生师比(教师人数=1),机动脱粒机数量(台),艺术表演团体演出场次(万场次),菜类商品零售价格指数(上年=100),国家重点优抚对象(万人),办公楼销售额(亿元),城镇居民医疗保险基金支出(万元),2954,0.815063093343
房地产住宅投资(亿元),建筑业城镇单位就业人员(万人),初中毕业生数(万人),小学生师比(教师人数=1),乡镇数(个),艺术表演团体国内演出场次(千场次),菜类商品零售价格指数(上年=100),农村集中供养五保人数(万人),城镇单位就业人员平均工资(元),城镇居民医疗保险基金累计结余(万元),78,0.815034743712
房地产业全社会固定资产投资(亿元),建筑业城镇单位就业人员(万人),入院人数(万人),小学生师比(教师人数=1),特殊教育毕业生数(万人),艺术表演团体国内演出场次(千场次),鲜菜类居民消费价格指数(上年=100),镇数(个),林业总产值指数(上年=100)(%),城镇居民基本医疗保险年末参保人数(万人),2547,0.815020194976
房地产开发住宅投资额(亿元),内资建筑业企业从业人员(万人),中等职业学校招生数(万人),小学生师比(教师人数=1),特殊教育招生数(万人),艺术表演团体演出场次(万场次),菜类商品零售价格指数(上年=100),国家重点优抚对象(万人),办公楼销售额(亿元),城镇居民医疗保险基金支出(万元),2572,0.814745395856
固定资产投资(不含农户)房屋施工面积(万平方米),建筑业城镇单位就业人员(万人),普通高等学校专科招生数(万人),小学生师比(教师人数=1),特殊教育招生数(万人),艺术表演团体国内演出场次(千场次),鲜菜类居民消费价格指数(上年=100),国家重点优抚对象(万人),城镇单位就业人员平均工资(元),国有建筑业房屋施工面积(万平方米),2916,0.814711685815
房地产业全社会固定资产投资(亿元),建筑业城镇单位就业人员(万人),普通小学招生数(万人),小学生师比(教师人数=1),特殊教育毕业生数(万人),艺术表演团体国内演出场次(千场次),鲜菜类居民消费价格指数(上年=100),镇数(个),林业总产值指数(上年=100)(%),城镇居民基本医疗保险年末参保人数(万人),2551,0.814271033795
房地产住宅投资(亿元),内资建筑业企业从业人员(万人),中等职业学校招生数(万人),小学生师比(教师人数=1),特殊教育招生数(万人),艺术表演团体国内演出场次(千场次),鲜菜类居民消费价格指数(上年=100),基层医疗卫生机构床位数(万张),新注册民用中型载客汽车拥有量(万辆),城镇居民医疗保险基金收入(万元),2805,0.814190859245
房地产住宅投资(亿元),内资建筑业企业从业人员(万人),乡村人口(万人),小学生师比(教师人数=1),特殊教育招生数(万人),艺术表演团体演出场次(万场次),鲜菜类居民消费价格指数(上年=100),国家重点优抚对象(万人),新注册民用中型载客汽车拥有量(万辆),城镇居民医疗保险基金收入(万元),868,0.813907399167
全社会固定资产投资中其他资金(亿元),建筑业城镇单位就业人员(万人),普通高中招生数(万人),小学生师比(教师人数=1),特殊教育招生数(万人),艺术表演团体机构数(个),菜类商品零售价格指数(上年=100),村民委员会单位数(个),城镇单位就业人员平均工资(元),社会组织女性职工人数(人),632,0.813852976693
房地产业全社会固定资产投资(亿元),建筑业城镇单位就业人员(万人),初中学校数(所),小学生师比(教师人数=1),特殊教育招生数(万人),艺术表演团体演出场次(万场次),菜类商品零售价格指数(上年=100),村民委员会数(个),办公楼销售额(亿元),城镇居民基本医疗保险年末参保人数(万人),530,0.813418846723
